,ID,Date,Energy,Observed_Issue
1,SPS1,6/22/2021,9.6,0
2,SPS1,6/23/2021,NA,0
3,SPS1,6/24/2021,10.2,1
4,SPS1,6/25/2021,9.8,1
5,SPS1,6/26/2021,9.9,0
6,SPS1,6/27/2021,9.9,0
7,SPS1,6/28/2021,9.9,0
8,SPS1,6/29/2021,9.8,1
9,SPS1,6/30/2021,9.6,0
10,SPS1,7/1/2021,NA,0
11,SPS1,7/2/2021,9.8,0
12,SPS1,7/3/2021,NA,0
13,SPS1,7/4/2021,9.8,0
14,SPS1,7/5/2021,9.9,0
15,SPS1,7/6/2021,9.8,0
16,SPS1,7/7/2021,9.8,0
17,SPS1,7/8/2021,9.8,0
18,SPS1,7/9/2021,9.8,0
19,SPS1,7/10/2021,9.8,0
20,SPS1,7/11/2021,9.8,0
21,SPS1,7/12/2021,9.8,0
22,SPS1,7/13/2021,9.7,0
23,SPS1,7/14/2021,9.8,1
24,SPS1,7/15/2021,9.8,1
25,SPS1,7/16/2021,9.1,0
26,SPS1,7/17/2021,9.9,1
27,SPS1,7/18/2021,9.8,1
28,SPS1,7/19/2021,10,1
29,SPS1,7/20/2021,9.8,1
30,SPS1,7/21/2021,10,1
31,SPS2,6/22/2021,1.2,0
32,SPS2,6/23/2021,1.2,0
33,SPS2,6/24/2021,1.2,0
34,SPS2,6/25/2021,1.8,0
35,SPS2,6/26/2021,1.5,0
36,SPS2,6/27/2021,1.6,0
37,SPS2,6/28/2021,1.4,0
38,SPS2,6/29/2021,1.1,0
39,SPS2,6/30/2021,1.3,0
40,SPS2,7/1/2021,1.1,0
41,SPS2,7/2/2021,2.5,1
42,SPS2,7/3/2021,3,1
43,SPS2,7/4/2021,2.6,1
44,SPS2,7/5/2021,1.2,0
45,SPS2,7/6/2021,1.4,0
46,SPS2,7/7/2021,0.9,0
47,SPS2,7/8/2021,1.2,0
48,SPS2,7/9/2021,3.6,1
49,SPS2,7/10/2021,1.6,0
50,SPS2,7/11/2021,3.2,0
51,SPS2,7/12/2021,1.4,0
52,SPS2,7/13/2021,1,0
